# Size          Latency (us)
1                       2.46
2                       2.34
4                       2.36
8                       2.35
16                      3.44
32                      4.20
64                      3.39
128                     3.57
256                     3.69
512                     4.18
1024                    5.82
2048                    7.62
4096                    7.87
8192                    7.37
16384                   7.42
32768                  10.29
65536                  14.91
131072                 27.45
262144                141.35
524288                184.25
1048576               498.29
2097152              1025.79
4194304              1319.56
