# Task /home/users/sduarte/tutorials/OSU-MicroBenchmarks/build.intel/libexec/osu-micro-benchmarks/mpi/one-sided/osu_get_latency run # MPI @ Tue Nov 10 19:23:27 CET 2020 by:
#      srun -n 2 /home/users/sduarte/tutorials/OSU-MicroBenchmarks/build.intel/libexec/osu-micro-benchmarks/mpi/one-sided/osu_get_latency
#
# SLURM_JOBID        2129931
# SLURM_JOB_NODELIST iris-[151,165]
# SLURM_NNODES       2
# SLURM_NTASKS       2
# SLURM_SUBMIT_DIR   /mnt/irisgpfs/users/sduarte/tutorials/OSU-MicroBenchmarks/runs
### Starting timestamp: 1605032607
# OSU MPI_Get latency Test v5.5
# Window creation: MPI_Win_allocate
# Synchronization: MPI_Win_flush
# Size          Latency (us)
1                       2.82
2                       2.62
4                       2.52
8                       2.48
16                      2.80
32                      2.78
64                      2.78
128                     2.80
256                     2.87
512                     2.93
1024                    3.10
2048                    3.48
4096                    4.07
8192                    5.21
16384                   6.68
32768                   8.59
65536                  12.44
131072                 19.71
262144                 92.30
524288                134.42
1048576               219.40
2097152               389.98
4194304               757.18
### Ending timestamp:     1605032610
